,Date,sp500_increase,sp500_changep,ADBE_increase,ADBE_changep,INTC_increase,INTC_changep,MSFT_increase,MSFT_changep,AMD_increase,AMD_changep,NVDA_increase,NVDA_changep,DIS_increase,DIS_changep,NFLX_increase,NFLX_changep,TSLA_increase,TSLA_changep,META_increase,META_changep,KFC_increase,KFC_changep
0,2021-04-19,0,-0.2522505851902633,0,-1.3304574264155309,0,-1.6537804182323435,0,-0.557289744657769,0,-1.2419294742201608,0,-1.1247783888012624,0,-0.042665368992784926,1,1.3786757486044687,0,-0.6906595272192493,0,-0.908173472732926,1,0.09633911368015415
1,2021-04-16,1,0.0023989851707573,1,0.16596308034720916,0,-0.8878031758740638,1,0.4894550407085786,0,-1.3805540020981293,0,-0.8752251970050804,0,-0.16527845885667064,0,-0.7265594070990427,1,1.5274851016505222,0,-0.6457539397254588,1,0.24154589371980675
2,2021-04-15,1,0.5148172603778969,1,1.4699356858764259,1,1.6413872163933345,1,0.6086951283040866,1,3.3491066379817136,1,3.0311240223463733,0,-1.1483883801183568,1,0.9280166414471238,0,-0.5719242703793485,1,0.48312692411211966,1,0.09671179883945842
3,2021-04-14,0,-0.3342718334712979,0,-0.6556410700389071,0,-1.7148907656636816,0,-0.7340432729746912,0,-1.6649902946801207,0,-2.22719744,1,0.80120744388004,0,-2.6762980759123534,0,-4.99156636998271,0,-1.4578526439773274,1,0.2416626389560174
4,2021-04-13,1,0.3231809530801421,1,1.5803451126761376,0,-0.5944206462740158,1,0.478107888185288,1,0.6526977336666122,1,2.941270354971338,0,-0.05387728148045699,0,-0.5870771992818752,1,6.9622598600803,0,-0.7847221647688973,1,0.8280565026790063
5,2021-04-12,1,0.1922863656287398,1,1.3499149162324942,0,-4.0908994295852725,1,0.47112283319648474,0,-4.240794334723471,1,6.432924683563601,0,-0.67110226728945,1,0.3139535500724897,1,2.374215980162592,1,0.15753770098200837,0,-0.2911208151382824
6,2021-04-09,1,0.7590723266351391,1,1.1377116310668551,1,2.1856272721146786,1,1.178475524081659,0,-0.04831028267274266,1,1.308569729200583,0,-0.14880096828478256,1,0.47404439930503767,0,-0.11065700437206444,1,0.34039724483745815,0,-0.241196333815726
7,2021-04-08,1,0.1446317624307627,0,-0.06398100560474876,1,0.1194592050118639,1,0.1898942484608682,1,0.03600429597545774,1,0.4507916142720833,1,0.06410810787018614,1,0.625988780995514,1,0.9477690738745647,0,-0.5812345450614341,0,-0.3357314148681055
8,2021-04-07,1,0.160120681030494,1,0.08722315112285839,1,0.8832067111720502,1,0.8433865946657818,1,1.082141240433352,1,1.892911474268748,0,-1.1801925485497662,1,0.6421324747010183,0,-2.333335371179034,1,2.203434121609116,0,-0.14354066985645933
9,2021-04-06,1,0.0887187852175051,0,-0.19905975492944186,0,-0.7568877058412107,1,0.1009652273309675,1,0.28322048950443884,0,-0.9875126482617645,1,0.6525176273416795,0,-0.05138837411716099,1,0.191215640302406,0,-0.8353794953422946,1,0.28735632183908044
10,2021-04-05,1,0.7187810335358221,1,1.639478314757898,1,2.4480431747398077,1,2.599280335706212,0,-0.3792483076772301,1,0.8653304301713238,0,-1.5511574668449988,1,0.12221495671904978,0,-2.3540699354146777,1,2.6654221144560113,1,0.38461538461538464
11,2021-04-01,1,0.5547167391906113,1,0.045537589466665584,0,-0.26266712876842807,1,1.6270410871285679,1,1.1601704507167405,1,1.764621878771121,1,1.362446304087556,1,1.7908006954420554,0,-3.867107891592504,1,0.08713472025070566,0,-0.8099094807050977
12,2021-03-31,1,0.2504148944062008,1,1.2071498302592507,0,-0.01562589579231933,1,1.2279423616702327,1,2.520569822212289,1,2.5565664212405617,0,-0.7049440594553326,1,1.1615936931508448,1,3.2955983672659888,1,1.5655743841365002,1,0.14306151645207438
13,2021-03-30,1,0.0785957983976687,1,0.6225960879043394,-1,0.0,0,-0.7193905316801575,0,-0.6146216989674627,1,0.231662517235058,1,0.9247657788767973,1,0.5641427089744873,1,5.628587730253841,0,-0.6314001594320938,1,0.7677543186180422
14,2021-03-29,1,0.3498998235721799,1,0.06183154611474267,1,0.7655020268968032,0,-0.570603500195414,1,0.14280230052545065,1,0.9984196953914322,0,-0.2105373451108173,1,1.6394430910932793,0,-0.7065802587463563,1,1.7671617714902756,0,-0.13953488372093023
15,2021-03-26,1,1.2917960773439894,1,4.184341210438644,1,4.967643280617468,1,2.1291265532269783,1,1.0310635437331477,1,2.268114258124406,0,-1.5410706105446723,1,1.0401298530668868,0,-3.6082078583529915,1,1.6960119308377493,1,0.09289363678588017
16,2021-03-25,1,0.9637807955901876,1,0.5933137821479905,1,0.5838478936789551,0,-1.257971424140624,1,0.48780850893262806,1,0.2860098335291106,1,2.782511624285242,0,-2.733129320356868,1,4.468191743572837,0,-0.797217208451178,1,0.13953488372093023
17,2021-03-24,0,-0.8900283852501705,0,-2.8509337551872993,0,-6.818865711430135,0,-1.0048347019991914,0,-1.3797545489586738,0,-3.8646494560893245,0,-2.809637170622566,0,-2.4298456846162866,0,-5.6354941577841515,0,-3.0446683848797234,0,-0.41512915129151295
18,2021-03-23,0,-0.6149380315862496,1,0.6231564582896002,0,-3.818182511763139,1,0.03789477363921982,0,-2.183951154354187,0,-1.384455593774241,0,-1.4927713685570683,1,0.9851533487945371,0,-2.013998936531371,0,-0.8596244419503586,0,-0.36968576709796674
